CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
14646,2,77,279489.02,4,4,4,444,Top Customers
18102,12,62,256438.49,4,4,4,444,Top Customers
17450,3,55,187482.17,4,4,4,444,Top Customers
14911,0,248,132572.62,4,4,4,444,Top Customers
12415,25,26,123725.45,3,4,4,344,Top Customers
14156,0,66,113384.14,4,4,4,444,Top Customers
17511,6,46,88125.38,4,4,4,444,Top Customers
16684,12,31,65892.08,4,4,4,444,Top Customers
13694,26,60,62653.1,3,4,4,344,Top Customers
15311,0,118,59419.34,4,4,4,444,Top Customers
13089,6,118,57385.88,4,4,4,444,Top Customers
14096,12,34,57120.91,4,4,4,444,Top Customers
15061,5,55,54228.74,4,4,4,444,Top Customers
17949,3,52,52750.84,4,4,4,444,Top Customers
15769,41,29,51823.72,3,4,4,344,Top Customers
16029,30,76,50992.61,3,4,4,344,Top Customers
14298,53,45,50862.44,3,4,4,344,Top Customers
14088,11,14,50415.49,4,4,4,444,Top Customers
17841,0,169,40340.78,4,4,4,444,Top Customers
13798,1,63,36351.42,4,4,4,444,Top Customers
16422,3,75,33805.69,4,4,4,444,Top Customers
12931,22,20,33462.81,3,4,4,344,Top Customers
16013,2,54,33366.25,4,4,4,444,Top Customers
15838,12,21,33350.76,4,4,4,444,Top Customers
17389,9,43,31300.08,4,4,4,444,Top Customers
17404,5,18,30300.82,4,4,4,444,Top Customers
12748,5,224,29072.1,4,4,4,444,Top Customers
13098,6,41,28658.88,4,4,4,444,Top Customers
13081,12,21,27964.48,4,4,4,444,Top Customers
13408,3,81,27487.41,4,4,4,444,Top Customers
14680,26,23,26932.34,3,4,4,344,Top Customers
17857,18,25,26763.34,4,4,4,444,Top Customers
16333,124,22,26626.8,2,4,4,244,Loyal Customers
13777,10,41,25748.35,4,4,4,444,Top Customers
15749,39,4,21535.9,3,3,4,334,Top Customers
16210,10,18,21086.3,4,4,4,444,Top Customers
12753,23,11,21024.01,3,4,4,344,Top Customers
17381,2,30,20272.43,4,4,4,444,Top Customers
17675,3,41,20098.1,4,4,4,444,Top Customers
15039,10,52,19786.44,4,4,4,444,Top Customers
12731,24,14,18793.41,3,4,4,344,Top Customers
12471,0,49,18740.92,4,4,4,444,Top Customers
15159,19,34,18573.68,4,4,4,444,Top Customers
12678,43,13,17588.26,3,4,4,344,Top Customers
17428,6,33,17078.45,4,4,4,444,Top Customers
13881,12,22,16989.52,4,4,4,444,Top Customers
13767,26,52,16945.71,3,4,4,344,Top Customers
12921,5,50,16389.74,4,4,4,444,Top Customers
12901,11,36,16293.1,4,4,4,444,Top Customers
17677,29,43,16219.22,3,4,4,344,Top Customers
15856,33,31,16173.67,3,4,4,344,Top Customers
15189,6,53,15802.14,4,4,4,444,Top Customers
14051,18,26,15477.34,4,4,4,444,Top Customers
16839,1,39,15357.78,4,4,4,444,Top Customers
14031,22,23,14634.64,3,4,4,344,Top Customers
15513,5,22,14520.08,4,4,4,444,Top Customers
16133,17,46,14305.66,4,4,4,444,Top Customers
14866,11,13,14197.45,4,4,4,444,Top Customers
16705,1,29,13946.13,4,4,4,444,Top Customers
12681,15,27,13677.59,4,4,4,444,Top Customers
12621,5,23,13612.07,4,4,4,444,Top Customers
12433,10,7,13375.87,4,4,4,444,Top Customers
12540,20,19,13309.04,4,4,4,444,Top Customers
12477,23,9,13117.01,3,4,4,344,Top Customers
17735,109,19,13110.02,2,4,4,244,Loyal Customers
14258,10,10,12650.08,4,4,4,444,Top Customers
15640,17,17,12433.34,4,4,4,444,Top Customers
13078,0,43,12432.28,4,4,4,444,Top Customers
15498,5,35,12396.46,4,4,4,444,Top Customers
16000,151,3,12393.7,2,2,4,224,Big Spenders
12682,2,31,12288.22,4,4,4,444,Top Customers
12557,17,5,11990.96,4,3,4,434,Top Customers
16525,9,29,11895.57,4,4,4,444,Top Customers
17340,10,16,11891.18,4,4,4,444,Top Customers
14606,5,128,11713.85,4,4,4,444,Top Customers
12939,37,8,11581.8,3,4,4,344,Top Customers
14607,16,17,11341.1,4,4,4,444,Top Customers
14194,10,32,11216.75,4,4,4,444,Top Customers
15125,26,23,11117.05,3,4,4,344,Top Customers
12409,65,7,11056.93,2,4,4,244,Loyal Customers
14895,41,24,11020.26,3,4,4,344,Top Customers
12971,9,89,10930.26,4,4,4,444,Top Customers
13340,46,7,10736.48,3,4,4,344,Top Customers
17581,66,31,10736.11,2,4,4,244,Loyal Customers
13319,1,36,10664.34,4,4,4,444,Top Customers
14769,78,10,10641.6,2,4,4,244,Loyal Customers
17139,1,15,10585.57,4,4,4,444,Top Customers
13113,5,40,10510,4,4,4,444,Top Customers
14062,10,12,10464.85,4,4,4,444,Top Customers
16779,9,28,10454.05,4,4,4,444,Top Customers
17107,76,7,10380.43,2,4,4,244,Loyal Customers
15615,11,27,10360.04,4,4,4,444,Top Customers
15251,3,15,10327.11,4,4,4,444,Top Customers
16180,32,10,10217.48,3,4,4,344,Top Customers
16843,6,17,10183.82,4,4,4,444,Top Customers
17865,1,27,10158.54,4,4,4,444,Top Customers
17706,33,22,10097.37,3,4,4,344,Top Customers
12590,5,3,9861.38,4,2,4,424,Big Spenders
13199,11,39,9803.96,4,4,4,444,Top Customers
13001,23,15,9797.92,3,4,4,344,Top Customers
15078,12,38,9623.35,4,4,4,444,Top Customers
13458,6,22,9537.92,4,4,4,444,Top Customers
14733,10,15,9451.54,4,4,4,444,Top Customers
16523,16,28,9295.67,4,4,4,444,Top Customers
12709,0,26,9294.1,4,4,4,444,Top Customers
14667,11,27,9231.2,4,4,4,444,Top Customers
14367,22,19,9167.82,3,4,4,344,Top Customers
12744,52,10,9120.39,3,4,4,344,Top Customers
12567,23,11,9114.94,3,4,4,344,Top Customers
18092,2,12,9065.76,4,4,4,444,Top Customers
13969,17,20,8986.69,4,4,4,444,Top Customers
12451,11,6,8933.52,4,4,4,444,Top Customers
13488,9,17,8910.61,4,4,4,444,Top Customers
16033,5,27,8727.61,4,4,4,444,Top Customers
13090,20,18,8689.39,4,4,4,444,Top Customers
17243,15,30,8628.55,4,4,4,444,Top Customers
17306,11,21,8600.73,4,4,4,444,Top Customers
17017,0,27,8574.11,4,4,4,444,Top Customers
16656,3,21,8568.24,4,4,4,444,Top Customers
18139,18,8,8393.22,4,4,4,444,Top Customers
16558,6,24,8257.04,4,4,4,444,Top Customers
15358,1,29,8234.8,4,4,4,444,Top Customers
12683,5,20,8221.09,4,4,4,444,Top Customers
14056,16,29,8124.4,4,4,4,444,Top Customers
14936,10,9,8117.42,4,4,4,444,Top Customers
16672,6,23,8093.59,4,4,4,444,Top Customers
13854,1,29,8025.02,4,4,4,444,Top Customers
18109,4,31,7925.32,4,4,4,444,Top Customers
14952,1,15,7912.79,4,4,4,444,Top Customers
14849,2,28,7904.28,4,4,4,444,Top Customers
12428,26,12,7877.2,3,4,4,344,Top Customers
14796,23,27,7839.51,3,4,4,344,Top Customers
12435,80,2,7829.89,2,2,4,224,Big Spenders
15290,43,21,7803.77,3,4,4,344,Top Customers
13629,24,11,7792.36,3,4,4,344,Top Customers
13093,9,13,7741.47,4,4,4,444,Top Customers
14527,1,86,7711.38,4,4,4,444,Top Customers
17811,1,51,7677.71,4,4,4,444,Top Customers
15044,6,22,7629.38,4,4,4,444,Top Customers
15194,5,22,7521.17,4,4,4,444,Top Customers
18172,5,25,7490.17,4,4,4,444,Top Customers
13263,5,35,7454.07,4,4,4,444,Top Customers
17396,40,8,7330.8,3,4,4,344,Top Customers
18229,0,20,7276.9,4,4,4,444,Top Customers
13018,17,29,7272.75,4,4,4,444,Top Customers
12583,0,18,7187.34,4,4,4,444,Top Customers
16745,2,18,7170.7,4,4,4,444,Top Customers
12474,3,30,7116.47,4,4,4,444,Top Customers
12980,9,12,7092.06,4,4,4,444,Top Customers
16729,6,26,7076.28,4,4,4,444,Top Customers
13324,6,12,7072.8,4,4,4,444,Top Customers
16873,58,10,7066.31,2,4,4,244,Loyal Customers
13985,0,16,7024.53,4,4,4,444,Top Customers
14961,6,12,7006.58,4,4,4,444,Top Customers
12766,58,7,6989.63,2,4,4,244,Loyal Customers
12798,11,3,6977.04,4,2,4,424,Big Spenders
15465,4,24,6945.02,4,4,4,444,Top Customers
13027,114,6,6912,2,4,4,244,Loyal Customers
12989,1,19,6854.51,4,4,4,444,Top Customers
16187,1,17,6841.24,4,4,4,444,Top Customers
16713,1,21,6840.23,4,4,4,444,Top Customers
